Match id,Location,Home Team,Away Team,URL,First batting,Second batting,Match id_iplt20
91551,Ahmedabad,Gujarat Titans,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/91551/gt-vs-rcb-45th-match-indian-premier-league-2024,GT,RCB,1427
91564,Kolkata,Kolkata Knight Riders,Delhi Capitals,https://www.cricbuzz.com/cricket-full-commentary/91564/dc-vs-kkr-47th-match-indian-premier-league-2024,DC,KKR,1429
91569,Lucknow,Lucknow Super Giants,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/91569/mi-vs-lsg-48th-match-indian-premier-league-2024,MI,LSG,1430
91578,Chennai,Chennai Super Kings,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/91578/csk-vs-pbks-49th-match-indian-premier-league-2024,CSK,PBKS,1431
91587,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91587/srh-vs-rr-50th-match-indian-premier-league-2024,SRH,RR,1432
91596,Mumbai,Mumbai Indians,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/91596/kkr-vs-mi-51st-match-indian-premier-league-2024,KKR,MI,1433
91600,Bengaluru,Royal Challengers Bengaluru,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/91600/gt-vs-rcb-52nd-match-indian-premier-league-2024,GT,RCB,1434
91609,Dharamsala,Punjab Kings,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/91609/csk-vs-pbks-53rd-match-indian-premier-league-2024,CSK,PBKS,1435
91623,Mumbai,Mumbai Indians,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/91623/srh-vs-mi-55th-match-indian-premier-league-2024,SRH,MI,1437
91632,Delhi,Delhi Capitals,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91632/dc-vs-rr-56th-match-indian-premier-league-2024,DC,RR,1438
91641,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/91641/lsg-vs-srh-57th-match-indian-premier-league-2024,LSG,SRH,1439
91645,Dharamsala,Punjab Kings,Royal Challengers Bengaluru,https://www.cricbuzz.com/cricket-full-commentary/91645/rcb-vs-pbks-58th-match-indian-premier-league-2024,RCB,PBKS,1440
91650,Ahmedabad,Gujarat Titans,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/91650/gt-vs-csk-59th-match-indian-premier-league-2024,GT,CSK,1441
91654,Kolkata,Kolkata Knight Riders,Mumbai Indians,https://www.cricbuzz.com/cricket-full-commentary/91654/kkr-vs-mi-60th-match-indian-premier-league-2024,KKR,MI,1442
91663,Chennai,Chennai Super Kings,Rajasthan Royals,https://www.cricbuzz.com/cricket-full-commentary/91663/rr-vs-csk-61st-match-indian-premier-league-2024,RR,CSK,1443
91677,Ahmedabad,Gujarat Titans,Kolkata Knight Riders,https://www.cricbuzz.com/cricket-full-commentary/91677/gt-vs-kkr-63rd-match-indian-premier-league-2024,KKR,GT,1445
91681,Delhi,Delhi Capitals,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/91681/dc-vs-lsg-64th-match-indian-premier-league-2024,DC,LSG,1446
91686,Guwahati,Rajasthan Royals,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/91686/rr-vs-pbks-65th-match-indian-premier-league-2024,RR,PBKS,1447
91690,Hyderabad,Sunrisers Hyderabad,Gujarat Titans,https://www.cricbuzz.com/cricket-full-commentary/91690/srh-vs-gt-66th-match-indian-premier-league-2024,GT,SRH,1448
91699,Mumbai,Mumbai Indians,Lucknow Super Giants,https://www.cricbuzz.com/cricket-full-commentary/91699/lsg-vs-mi-67th-match-indian-premier-league-2024,LSG,MI,1449
91704,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,https://www.cricbuzz.com/cricket-full-commentary/91704/rcb-vs-csk-68th-match-indian-premier-league-2024,RCB,CSK,1450
91713,Hyderabad,Sunrisers Hyderabad,Punjab Kings,https://www.cricbuzz.com/cricket-full-commentary/91713/pbks-vs-srh-69th-match-indian-premier-league-2024,PBKS,SRH,1451
91722,Ahmedabad,Kolkata Knight Riders,Sunrisers Hyderabad,https://www.cricbuzz.com/cricket-full-commentary/91722/srh-vs-kkr-qualifier-1-indian-premier-league-2024,SRH,KKR,1453
91731,Ahmedabad,Rajasthan Royals,Royal Challengers Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary/91731/rcb-vs-rr-eliminator-indian-premier-league-2024,RCB,RR,1454
91735,Chennai,Rajasthan Royals,Sunrisers Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary/91735/srh-vs-rr-qualifier-2-indian-premier-league-2024,SRH,RR,1455
91740,Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary/91740/srh-vs-kkr-final-indian-premier-league-2024,SRH,KKR,1456
